path,ok,rows,cols,na_cells,inf_cells,issue
experiments/beta_sensitivity_2d/saddle_point/adam/adam_beta_sweep.csv,True,4,9,0,0,
experiments/convergence_validation/Adam_trajectory.csv,True,1067,3,0,0,
experiments/convergence_validation/RMSProp_trajectory.csv,True,2000,3,0,0,
experiments/convergence_validation/SGD_Momentum_0.5_trajectory.csv,True,929,3,0,0,
experiments/convergence_validation/SGD_Momentum_0.9_trajectory.csv,True,393,3,0,0,
experiments/convergence_validation/SGD_trajectory.csv,True,1903,3,0,0,
experiments/convergence_validation/convergence_rate_summary.csv,True,5,7,5,0,
experiments/hyperparam_sensitivity/adam_beta_sweep_rosenbrock.csv,True,64,11,0,0,
experiments/hyperparam_sensitivity/hyperparam_sensitivity_results.csv,True,76,16,152,0,
experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.csv,True,6,11,0,0,
experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.csv,True,6,11,0,0,
experiments/hyperparameter_heatmaps/adam_beta_heatmap_data.csv,True,225,4,0,0,
experiments/hyperparameter_heatmaps/momentum_beta_heatmap_data.csv,True,300,4,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed1011.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed1213.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed123.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed1415.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed1617.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed1819.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed2021.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed42.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed456.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_AdamW_seed789.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed1011.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed1213.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed123.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed1415.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed1617.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed1819.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed2021.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed42.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed456.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_Adam_seed789.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1011.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1213.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed123.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1415.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1617.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1819.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed2021.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed42.csv,True,10,5,0,0,
experiments/init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed456.csv,True,10,5,0,0,
